,,,,,,,,
CONSEJO NACIONAL DE FIJACIÓN Y REVISIÓN DE PRECIOS DE MEDICAMENTOS DE USO Y CONSUMO HUMANO ,,,,,,,,
CONSOLIDADO DE PRECIOS TECHO ACTUALIZADO,,,,,,,,
,,,,,,,,
Resolución,Item,Sesión de Consejo,Principio Activo,Primer Nivel de Desagregación,Forma Farmacéutica,Concentración ,Presentación Comercial , Precio Techo (USD )  
Resolución 10 (Anexo A),273,,ATROPINA,LÍQUIDO OFTÁLMICO,LOF-01,1%,-,$1.4340
Resolución 10 (Anexo A),274,,AXITINIB,SÓLIDO ORAL,SOR-01,5 mg,-,$147.1800
STFP-001-753-2024,,753,AXITINIB,SÓLIDO ORAL,SOR-01,1 mg,-,$13.6114
Resolución 10 (Anexo A),275,,AZACITIDINA,SÓLIDO PARENTERAL,SPA-04,100 mg,-,$982.1600
Resolución 16-2017,23,671,AZATIOPRINA,SÓLIDO ORAL,SOR-01,50 mg ,-,$0.8800
Resolución 10 (Anexo A),279,,AZITROMICINA,SÓLIDO ORAL,SOR-06,200 mg/5 ml,-,$2.1200
Resolución 10 (Anexo A),283,,AZITROMICINA,SÓLIDO ORAL,SOR-01,500 mg,-,$1.9500
STFP-002-718-2022,,718,BACLOFENO,SÓLIDO ORAL,SOR-01,10 mg,-,$0.5015
STFP-001-710-2022,,710,BALOXAVIR MARBOXIL,SÓLIDO ORAL,SOR-01,40 mg,-,$22.5500
STFP-002-710-2022,,710,BALOXAVIR MARBOXIL,SÓLIDO ORAL,SOR-01,20 mg,-,$16.8200
STFP-001-731-2023,,731,BARICITINIB,SÓLIDO ORAL,SOR-01,2 mg,-,$21.7800
STFP-002-731-2023,,731,BARICITINIB,SÓLIDO ORAL,SOR-01,4 mg,-,$41.6500
Resolución 10 (Anexo A),285,,BASILIXIMAB,SÓLIDO PARENTERAL,SPA-04,20 mg,-,"$1,883.9200"
Resolución 10 (Anexo A),286,,BECLOMETASONA,LÍQUIDO PARA INHALACIÓN,LNA-02,250 mcg/dosis,-,$0.07125
Resolución 10 (Anexo A),287,,BECLOMETASONA,LÍQUIDO PARA INHALACIÓN,LNA-02,50 mcg/dosis,-,$0.05785
Resolución 10 (Anexo A),288,,BENCILPENICILINA (PENICILINA G CRISTALINA),SÓLIDO PARENTERAL,SPA-04,1 000 000 UI,-,$1.3500
Resolución 10 (Anexo A),289,,BENCILPENICILINA (PENICILINA G CRISTALINA),SÓLIDO PARENTERAL,SPA-04,5 000 000 UI,-,$2.4000
Resolución 10 (Anexo A),290,,BENCILPENICILINA BENZATINICA (PENICILINA G BENZATINICA),SÓLIDO PARENTERAL,SPA-04,1 200 000 UI,-,$2.0500
Resolución 10 (Anexo A),291,,BENCILPENICILINA BENZATINICA (PENICILINA G BENZATINICA),SÓLIDO PARENTERAL,SPA-04,600 000 UI,-,$1.7265
Resolución 10 (Anexo A),292,,BENCILPENICILINA BENZATINICA (PENICILINA G BENZATINICA),SÓLIDO PARENTERAL,SPA-04,2 400 000 UI,-,$2.8400
Medicamentos nuevos Consolidados,13,652,BENDAMUSTINA CLORHIDRATO,SÓLIDO PARENTERAL,SPA-04,25 mg , -,$550.0000
Medicamentos nuevos Consolidados,14,652,BENDAMUSTINA CLORHIDRATO,SÓLIDO PARENTERAL,SPA-04,100 mg , -,"$1,793.0000"
Resolución 16-2017,2,669,BETAHISTINA,SÓLIDO ORAL,SOR-01,16 mg,-,$0.7550
Resolución 16-2017,3,669,BETAHISTINA,SÓLIDO ORAL,SOR-01,24 mg,-,$1.0000
Resolución 16-2017,79,669,BETAHISTINA,LÍQUIDO ORAL,LOR-01,"12,5 mg /ml",-,-
STFP-06-683-2018,,683,BETAHISTINA,SÓLIDO ORAL,SOR-01,8 mg,-,$0.3650
Resolución 10 (Anexo A),300,,BETAMETASONA,LÍQUIDO CUTÁNEO,LCU-01,0.05%,-,$0.1615
Resolución 10 (Anexo A),306,,BETAMETASONA,LÍQUIDO PARENTERAL,LPA-02,4mg/mL,-,$1.5000
Resolución 10 (Anexo A),295,,BETAMETASONA,SEMISÓLIDO CUTÁNEO,SSC-01,0.05%,-,$0.1440
Resolución 10 (Anexo A),298,,BETAMETASONA,SEMISÓLIDO CUTÁNEO,SSC-01,0.10%,20 g,$3.0000
Resolución 10 (Anexo A),299,,BETAMETASONA,SEMISÓLIDO CUTÁNEO,SSC-01,0.10%,40 g,$2.8300
STFP-01-689-2019,,689,BETAMETASONA DIPROPIONATO (EQUIVALENTE A BETAMETASONA) + BETAMETASONA FOSFATO (EQUIVALENTE A BETAMETASONA) ,LÍQUIDO PARENTERAL, -,5 mg + 2 mg/ ml, -,$3.4100
STFP-002-763-2025,,763,BETAMETASONA FOSFATO SÓDICO (EQUIVALENTE A BETAMETASONA) + BETAMETASONA DIPROPIONATO (EQUIVALENTE A BETAMETASONA),LÍQUIDO PARENTERAL,LPA-02,(4 mg + 10 mg)/ml,-,$3.9500
Resolución 10 (Anexo A),309,,BEVACIZUMAB,LÍQUIDO PARENTERAL,LPA-02,25 mg/mL,16 ml,"$2,192.5900"
Resolución 10 (Anexo A),308,,BEVACIZUMAB,LÍQUIDO PARENTERAL,LPA-02,25 mg/mL,4 ml,$600.3800
Resolución 10 (Anexo A),310,,BEXAROTENO,SÓLIDO ORAL,SOR-01,75 mg,-,$32.8800
Resolución 10 (Anexo A),311,,BEZAFIBRATO,SÓLIDO ORAL,SOR-02,400 mg,-,$1.1100
Resolución 10 (Anexo A),312,,BICALUTAMIDA,SÓLIDO ORAL,SOR-01,50 mg,-,$5.5000
Resolución 10 (Anexo A),313,,BICALUTAMIDA,SÓLIDO ORAL,SOR-01,150 mg,-,$19.1800
Resolución 10 (Anexo A),315,,BICARBONATO DE SODIO,LÍQUIDO PARENTERAL,LPA-02,"1 mEq/mL (8,4%)",-,$0.0580
STFP-006-761-2025,,761,BICTEGRAVIR + EMTRICITABINA + TENOFOVIR ALAFENAMIDA,SÓLIDO ORAL,SOR-01,50 mg + 200 mg + 25 mg,-,$15.2128
STFP-003-736-2023,,736,BINIMETINIB,SÓLIDO ORAL,SOR-01,15 mg,-,$21.4000
Resolución 10 (Anexo A),321,,BIPERIDENO,SÓLIDO ORAL,SOR-01,2 mg,-,$0.1300
Resolución 10 (Anexo A),322,,BIPERIDENO,SÓLIDO ORAL,SOR-01,4 mg,-,$0.2600
Resolución 10 (Anexo A),320,,BIPERIDENO,LÍQUIDO PARENTERAL,LPA-02,5 mg,-,$0.0300
Resolución 10 (Anexo A),323,,BISOPROLOL,SÓLIDO ORAL,SOR-01,"2,5 mg",-,$0.4100
Resolución 10 (Anexo A),324,,BISOPROLOL,SÓLIDO ORAL,SOR-01,"1,25 mg   ",-,$0.2700
Resolución 10 (Anexo A),325,,BISOPROLOL,SÓLIDO ORAL,SOR-01,10 mg,-,$0.7600
Resolución 10 (Anexo A),326,,BISOPROLOL,SÓLIDO ORAL,SOR-01,5 mg,-,$0.6200
Medicamentos nuevos Consolidados,15,632,BISOPROLOL + AMLODIPINO,SÓLIDO ORAL,SOR-01,5 mg + 5 mg,-,$0.9000
Medicamentos nuevos Consolidados,16,632,BISOPROLOL + AMLODIPINO,SÓLIDO ORAL,SOR-01,5 mg + 10 mg,-,$0.8600
Medicamentos nuevos Consolidados,17,632,BISOPROLOL + AMLODIPINO,SÓLIDO ORAL,SOR-01,10 mg +  5 mg,-,$1.1100
STFP-08-688-2019,,688,BISOPROLOL + HIDROCLOROTIAZIDA,SÓLIDO ORAL,SOR-01,"5 mg + 6,25 mg",-,$0.5850
Resolución 10 (Anexo A),327,,BLEOMICINA,SÓLIDO PARENTERAL,SPA-04,15 UI,-,$61.9600
STFP-001-776-2026,,776,BLINATUMOMAB,SÓLIDO PARENTERAL,SPA-04,35 mcg,,"$2,282.1272"
Resolución 10 (Anexo A),328,,BOCEPREVIR,SÓLIDO ORAL,SOR-01,200 mg,-,$15.1400
Resolución 10 (Anexo A),329,,BORTEZOMIB,SÓLIDO PARENTERAL,SPA-04,"3,5 mg",-,"$2,560.1500"
STFP-007-708-2021,,708,BORTEZOMIB, SÓLIDO PARENTERAL  ,SPA-04,"2,5 mg",-,$316.5803
Resolución 10 (Anexo A),330,,BOSENTANO,SÓLIDO ORAL,SOR-01,125 mg,-,$112.4600
Resolución 10 (Anexo A),331,,BOSENTANO,SÓLIDO ORAL,SOR-01,"62,5 mg",-,$109.1700
STFP-001-706-2021,,706,BOSUTINIB,SÓLIDO ORAL,SOR-01,500 mg,-,$91.6153
STFP-002-706-2021,,706,BOSUTINIB,SÓLIDO ORAL,SOR-01,100 mg,-,$18.6314
STFP-001-765-2025,,765,BOSUTINIB,SÓLIDO ORAL,SOR-01,400 mg,-,$70.2500
Medicamentos nuevos Consolidados,18,653,BRENTUXIMAB VEDOTIN,SÓLIDO PARENTERAL,SPA-04,50 mg , -,"$4,241.6400"
STFP-004-710-2022,,710,BREXPIPRAZOL,SÓLIDO ORAL,SOR-01,2 mg,-,$3.1900
STFP-005-710-2022,,710,BREXPIPRAZOL,SÓLIDO ORAL,SOR-01,1 mg,-,$1.8900
STFP-012-711-2022,,711,BREXPIPRAZOL,SÓLIDO ORAL,SOR-01,"0,5 mg",-,$1.0100
STFP-006-768-2025,,768,BRIMONIDINA,LÍQUIDO OFTÁLMICO,LOF-01 ,2 mg/ml,-,$2.5643
STFP-001-738-2023,,738,BRIVARACETAM,SÓLIDO ORAL,SOR-01,100 mg,-,$5.4400
STFP-002-738-2023,,738,BRIVARACETAM,SÓLIDO ORAL,SOR-01,25 mg,-,$3.0000
STFP-003-738-2023,,738,BRIVARACETAM,SÓLIDO ORAL,SOR-01,50 mg,-,$3.7400
STFP-010-759-2024,,759,BROMFENACO,LÍQUIDO OFTÁLMICO,LOF-01,"0,9 mg/ml",-,$4.8984
Resolución 10 (Anexo A),334,,BROMOCRIPTINA,SÓLIDO ORAL,SOR-01,"2,5 mg",-,$0.9100
STFP-002-719-2022,,719,BROMURO DE IPRATROPIO,LÍQUIDO NASAL,LNA-01,"0,06 g/100 ml
(42 mcg/dosis)",-,$0.0933
Medicamentos nuevos Consolidados,82,654,BROMURO DE TIOTROPIO + OLODATEROL ,LÍQUIDO ORAL,LOR-04,"(2,5 mcg + 2.5 mcg) / pulsación 
(5,0 mcg + 5.0 mcg )/ dosis ", -,$2.2333
STFP-01-693-2020,,693,BROMURO DE TIOTROPIO , SÓLIDO PARA INHALACIÓN , SNA-01 , 0.0225 mg , - ,$2.0300
Resolución 10 (Anexo A),336,,BUDESONIDA,LÍQUIDO PARA INHALACIÓN,LOR-04,200 mcg/dosis,-,$0.0680
STFP-005-761-2025,,761,BUDESONIDA,LÍQUIDO ORAL,LOR-04,50 mcg/dosis,-,$0.0614
Resolución 10 (Anexo A),339,,BUPIVACAÍNA (SIN EPINEFRINA),LÍQUIDO PARENTERAL,LPA-02,0.50%,-,$0.1910
Resolución 10 (Anexo A),348,,BUPIVACAÍNA (SIN EPINEFRINA),LÍQUIDO PARENTERAL,LPA-02,0.75%,10 ml,$2.3100
Resolución 10 (Anexo A),347,,BUPIVACAÍNA HIPERBARICA,LÍQUIDO PARENTERAL,LPA-02,0.75%,-,$1.2825
Resolución 10 (Anexo A),344,,BUPIVACAÍNA HIPERBARICA,LÍQUIDO PARENTERAL,LPA-02,0.50%,10 ml,$1.7700
Resolución 10 (Anexo A),341,,BUPIVACAÍNA HIPERBARICA,LÍQUIDO PARENTERAL,LPA-02,0.50%,2 ml,$0.5500
Resolución 10 (Anexo A),345,,BUPIVACAÍNA HIPERBARICA,LÍQUIDO PARENTERAL,LPA-02,0.50%,20 ml,$4.0400
Resolución 10 (Anexo A),342,,BUPIVACAÍNA HIPERBARICA,LÍQUIDO PARENTERAL,LPA-02,0.50%,3 ml,$0.6500
Resolución 10 (Anexo A),346,,BUPIVACAÍNA HIPERBARICA,LÍQUIDO PARENTERAL,LPA-02,0.50%,30 ml,$2.8000
Resolución 10 (Anexo A),343,,BUPIVACAÍNA HIPERBARICA,LÍQUIDO PARENTERAL,LPA-02,0.50%,4 ml,$3.3800
Resolución 10 (Anexo A),349,,BUPRENORFINA,SÓLIDO CUTÁNEO,SCU-01,20 mg,-,$18.3900
Resolución 10 (Anexo A),351,,BUPRENORFINA,SÓLIDO ORAL,SOR-03,"0,2 mg",-,$3.7700
Resolución 10 (Anexo A),350,,BUPRENORFINA,LÍQUIDO PARENTERAL,LPA-02,"0,3 mg/mL",-,$5.2500
STFP-07-715-2022,,715,BUSULFÁN,LÍQUIDO PARENTERAL,LPA-02,6 mg/ml,-,$26.2609
Resolución 10 (Anexo A),356,,BUTIL ESCOPOLAMINA (N-BUTILBROMURO DE HIOSCINA),LÍQUIDO PARENTERAL,LPA-02,20 mg/ ml,-,$1.3600
STFP-007-752-2024,,752,CABAZITAXEL,LÍQUIDO PARENTERAL,LPA-02,"60 mg/1,5 ml
(40 mg/ml)",-,"$1,858.6358"
Resolución 10 (Anexo A),358,,CABERGOLINA,SÓLIDO ORAL,SOR-01,"0,5 mg",-,$5.0200
STFP-010-708-2021,,708,CABOZANTINIB,SÓLIDO ORAL,SOR-01,20 mg,-,$118.8753
STFP-011-708-2021,,708,CABOZANTINIB,SÓLIDO ORAL,SOR-01,40 mg,-,$122.8133
STFP-012-708-2021,,708,CABOZANTINIB,SÓLIDO ORAL,SOR-01,60 mg,-,$124.6096
STFP-017-684-2018,,684,CAFEÍNA,LÍQUIDO PARENTERAL,LPA-02,20 mg/ ml, -,$6.7386
Resolución 10 (Anexo A),359,,CALCIO CARBONATO,SÓLIDO ORAL,SOR-01,500 mg,-,$0.2300
Resolución 10 (Anexo A),360,,CALCIO GLUCONATO,LÍQUIDO PARENTERAL,LPA-02,10%,-,$0.0630
Resolución 10 (Anexo A),361,,CALCIPOTRIOL + BETAMETASONA DIPROPIONATO,SEMISÓLIDO CUTÁNEO,SSC-01,"(50 mcg + 0,5 mg)/g",-,$0.7306
Resolución 10 (Anexo A),362,,CALCITRIOL,SÓLIDO ORAL,SOR-01,"0,5 mcg",-,$0.3800
Resolución 10 (Anexo A),363,,CANDESARTÁN,SÓLIDO ORAL,SOR-01,8 mg,-,$0.8100
Resolución 10 (Anexo A),364,,CANDESARTÁN,SÓLIDO ORAL,SOR-01,16 mg,-,$0.8500
Resolución 16-2017,6,669,CANDESARTÁN,SÓLIDO ORAL,SOR-01,32 mg,-,$1.1100
STFP-05-687-2019,,687,CANDESARTÁN + AMLODIPINO,SÓLIDO ORAL,SOR-01,16 mg + 5 mg,-,$1.2000
STFP-002-776-2026,,776,CANDESARTÁN + AMLODIPINO,SÓLIDO ORAL,SOR-01,8 mg + 5 mg,,$0.8000
Resolución 16-2017,62,669,CANDESARTÁN + HIDROCLOROTIAZIDA,SÓLIDO ORAL,SOR-01,"16mg+ 12,5mg",-,$0.8800
STFP-02-688-2019,,688,CANDESARTÁN + HIDROCLOROTIAZIDA,SÓLIDO ORAL,SOR-01,"32 mg + 12,5 mg",-,$0.7427
STFP-004-756-2024,,756,CANDESARTÁN + HIDROCLOROTIAZIDA,SÓLIDO ORAL,SOR-01,"8 mg + 12,5 mg",-,$0.6800
Resolución 10 (Anexo A),365,,CAPECITABINA,SÓLIDO ORAL,SOR-01,500 mg,-,$6.3200
Resolución 10 (Anexo A),366,,CAPTOPRIL,SÓLIDO ORAL,SOR-01,25 mg,-,$0.0800
Resolución 10 (Anexo A),367,,CAPTOPRIL,SÓLIDO ORAL,SOR-01,50 mg,-,$0.1500
Resolución 10 (Anexo A),371,,CARBAMAZEPINA,SÓLIDO ORAL,SOR-01,100 mg,-,$0.2000
Resolución 10 (Anexo A),372,,CARBAMAZEPINA,SÓLIDO ORAL,SOR-01,200 mg,-,$0.1200
Resolución 10 (Anexo A),373,,CARBAMAZEPINA,SÓLIDO ORAL,SOR-02,400 mg,-,$0.3300
Resolución 10 (Anexo A),368,,CARBAMAZEPINA,LÍQUIDO ORAL,LOR-04,100 mg/5 ml,-,$0.2153
STFP-006-744-2024,,744,CARBAMAZEPINA,SÓLIDO ORAL,SOR-01,400 mg,-,$0.1626
Resolución 10 (Anexo A),379,,CARBOHIDRATOS (DEXTROSA EN AGUA),LÍQUIDO PARENTERAL,SOLUCIÓN PARA INFUSIÓN,50%,-,$0.0119
Resolución 10 (Anexo A),375,,CARBOHIDRATOS (DEXTROSA EN AGUA),LÍQUIDO PARENTERAL,LPA-02,10%,1000 ml,$2.2500
Resolución 10 (Anexo A),376,,CARBOHIDRATOS (DEXTROSA EN AGUA),LÍQUIDO PARENTERAL,LPA-02,10%,500 ml,$2.4700
Resolución 10 (Anexo A),377,,CARBOHIDRATOS (DEXTROSA EN AGUA),LÍQUIDO PARENTERAL,LPA-02,5%,-,$0.0027
Resolución 10 (Anexo A),380,,CARBOPLATINO,SÓLIDO PARENTERAL,SPA-04,150 mg,-,$38.1800
Resolución 10 (Anexo A),381,,CARBOPLATINO,SÓLIDO PARENTERAL,SPA-04,450 mg,-,$84.0300
Resolución 10 (Anexo A),382,,CARBOPLATINO,LÍQUIDO PARENTERAL,LPA-02,10 mg/ml,-,$2.6725
STFP-001-709-2021,,709,CARFILZOMIB, SÓLIDO PARENTERAL  ,SPA-04,60 mg,-,$984.4597
STFP-004-757-2024,,757,CARIPRAZINA,SÓLIDO ORAL,SOR-01,"1,5 mg",,$1.2300
STFP-005-757-2024,,757,CARIPRAZINA,SÓLIDO ORAL,SOR-01,3 mg,,$2.1500
STFP-006-757-2024,,757,CARIPRAZINA,SÓLIDO ORAL,SOR-01,6 mg,,$2.6543
STFP-002-777-2026,,777,CARIPRAZINA,SÓLIDO ORAL,SOR-01,"4,5 mg",-,$2.3974
Resolución 10 (Anexo A),385,,CARVEDILOL,SÓLIDO ORAL,SOR-01,"12,5 mg",-,$0.3200
Resolución 10 (Anexo A),386,,CARVEDILOL,SÓLIDO ORAL,SOR-01,25 mg,-,$0.6200
Resolución 10 (Anexo A),387,,CARVEDILOL,SÓLIDO ORAL,SOR-01,50 mg,-,$0.1500
Resolución 10 (Anexo A),388,,CARVEDILOL,SÓLIDO ORAL,SOR-01,"6,25 mg",-,$0.3500
STFP-003-744-2024,,744,CARVEDILOL,SÓLIDO ORAL,SOR-02,40 mg,-,$0.7600
STFP-003-746-2024,,746,CARVEDILOL,SÓLIDO ORAL,SOR-02,20 mg,-,$0.4100
Medicamentos nuevos Consolidados,116,663,CARVEDILOL + HIDROCLOROTIAZIDA,SÓLIDO ORAL,SOR-01,"25 mg + 12,5 mg",-,$0.8300
Resolución 10 (Anexo A),389,,CASPOFUNGINA,SÓLIDO PARENTERAL,SPA-04,50 mg,-,$509.8000
Resolución 10 (Anexo A),390,,CASPOFUNGINA,SÓLIDO PARENTERAL,SPA-04,70 mg,-,$716.7600
Resolución 10 (Anexo A),401,,CEFALEXINA,SÓLIDO ORAL,SOR-01,500 mg,-,$0.2900
Resolución 10 (Anexo A),405,,CEFALEXINA,SÓLIDO ORAL,SOR-06,250 mg/5 ml,100 ml,$4.0000
Resolución 10 (Anexo A),406,,CEFALEXINA,SÓLIDO ORAL,SOR-06,250 mg/5 ml,120 ml,$8.6000
Resolución 10 (Anexo A),404,,CEFALEXINA,SÓLIDO ORAL,SOR-06,250 mg/5 ml,60 ml,$2.2500
Resolución 10 (Anexo A),411,,CEFAZOLINA,SÓLIDO PARENTERAL,SPA-04,1 g,-,$1.5500
Resolución 10 (Anexo A),412,,CEFEPIMA,SÓLIDO PARENTERAL,SPA-04,1 g,-,$8.4500
Resolución 10 (Anexo A),414,,CEFOTAXIMA,SÓLIDO PARENTERAL,SPA-04,1 g,-,$2.6000
Resolución 10 (Anexo A),422,,CEFTAZIDIMA,SÓLIDO PARENTERAL,SPA-04,1 g,-,$3.9100
Resolución 10 (Anexo A),423,,CEFTAZIDIMA,SÓLIDO PARENTERAL,SPA-04,500 mg,-,$13.8600
STFP-003-710-2022,,710,CEFTAZIDIMA + AVIBACTAM, SÓLIDO PARENTERAL ,SPA-04,"2 g + 0,5 g",-,$124.8942
Resolución 10 (Anexo A),426,,CEFTRIAXONA,SÓLIDO PARENTERAL,SPA-04,1 g,-,$8.1600
Resolución 10 (Anexo A),428,,CEFTRIAXONA,SÓLIDO PARENTERAL,SPA-04,500 mg,-,$4.1000
Resolución 10 (Anexo A),435,,CEFUROXIMA,SÓLIDO ORAL,SOR-01,250 mg,-,$0.8300
Resolución 10 (Anexo A),436,,CEFUROXIMA,SÓLIDO ORAL,SOR-01,500 mg,-,$1.5100
STFP-007-710-2022,,710,CEFUROXIMA,SÓLIDO ORAL,SOR-06,250 mg,-,$1.8615
STFP-011-720-2022,,720,CEFUROXIMA, SÓLIDO PARENTERAL ,SPA-04,750 mg,-,$13.9600
Resolución 10 (Anexo A),430,,CEFUROXIMA,SÓLIDO ORAL,SOR-06,125 mg/5 ml,100 ml,$12.6100
Resolución 10 (Anexo A),434,,CEFUROXIMA,SÓLIDO ORAL,SOR-06,250 mg/5 ml,100 ml,$20.1300
Resolución 10 (Anexo A),431,,CEFUROXIMA,SÓLIDO ORAL,SOR-06,250 mg/5 ml,50 ml,$11.7000
Resolución 10 (Anexo A),429,,CEFUROXIMA,SÓLIDO ORAL,SOR-06,125 mg/5 ml,70 ml,$8.1600
Resolución 10 (Anexo A),432,,CEFUROXIMA,SÓLIDO ORAL,SOR-06,250 mg/5 ml,70 ml,$15.3700
Resolución 10 (Anexo A),433,,CEFUROXIMA,SÓLIDO ORAL,SOR-06,250 mg/5 ml,75 ml,$12.4000
Resolución 10 (Anexo A),439,,CERTOLIZUMAB,LÍQUIDO PARENTERAL,LPA-02,200 mg,JERINGA PRELLENADA,$911.2000
Resolución 10 (Anexo A),444,,CETUXIMAB,LÍQUIDO PARENTERAL,LPA-02,5 mg/ml,-,$26.6910
Resolución 10 (Anexo A),446,,CICLOFOSFAMIDA,SÓLIDO ORAL,SOR-01,50 mg,-,$0.2600
Resolución 10 (Anexo A),447,,CICLOFOSFAMIDA,SÓLIDO PARENTERAL,SPA-04,1 g,-,$17.7700
Resolución 10 (Anexo A),448,,CICLOFOSFAMIDA,SÓLIDO PARENTERAL,SPA-04,500 mg,-,$9.8600
Resolución 10 (Anexo A),453,,CICLOSERINA,SÓLIDO ORAL,SOR-01,250 mg,-,$3.9000
Resolución 10 (Anexo A),454,,CICLOSPORINA,SÓLIDO ORAL,SOR-01,100 mg,-,$7.8100
Resolución 10 (Anexo A),455,,CICLOSPORINA,SÓLIDO ORAL,SOR-01,25 mg,-,$2.9400
Resolución 10 (Anexo A),456,,CICLOSPORINA,SÓLIDO ORAL,SOR-01,50 mg,-,$3.7600
Resolución 10 (Anexo A),457,,CICLOSPORINA,LÍQUIDO ORAL,LOR-04,100 mg/ml,-,$5.5430
Resolución 10 (Anexo A),458,,CICLOSPORINA,LÍQUIDO PARENTERAL,LPA-02,50 mg/ml,-,$35.1400
STFP-001-769-2025,,769,CICLOSPORINA A,LÍQUIDO OFTÁLMICO,LOF-01,1 mg/mL,-,$5.3589
STFP-009-736-2023,,736,CINACALCET,SÓLIDO ORAL,SOR-01,90 mg,-,$17.0929
STFP-008-736-2023,,736,CINACALCET,SÓLIDO ORAL,SOR-01,60 mg,-,$10.4763
STFP-007-736-2023,,736,CINACALCET,SÓLIDO ORAL,SOR-01,30 mg,-,$4.5476
Resolución 10 (Anexo A),464,,CINARIZINA,SÓLIDO ORAL,SOR-01,75 mg,-,$0.1800
Resolución 10 (Anexo A),465,,CIPROFIBRATO,SÓLIDO ORAL,SOR-01,100 mg,-,$0.8500
Resolución 10 (Anexo A),466,,CIPROFLOXACINA,SÓLIDO ORAL,SOR-01,500 mg,-,$0.8900
Resolución 10 (Anexo A),478,,CIPROFLOXACINA,SÓLIDO ORAL,SOR-02,500 mg,-,$7.6600
Resolución 10 (Anexo A),470,,CIPROFLOXACINA,LÍQUIDO PARENTERAL,LPA-02,2 mg/ml,-,$0.0409
Resolución 10 (Anexo A),471,,CIPROFLOXACINA,LÍQUIDO PARENTERAL,LPA-02,20 mg/ml,-,$0.3800
Resolución 10 (Anexo A),479,,CIPROFLOXACINA,LÍQUIDO OFTÁLMICO,LOF-01,0.30%,-,$1.1800
Resolución 16-2017,34,672,CIPROFLOXACINA,SEMISÓLIDO OFTÁLMICO,SSF-01,0.3% (3.0 mg/g), -,$1.8000
Resolución 10 (Anexo A),467,,CIPROFLOXACINA,LÍQUIDO PARENTERAL,LPA-02,10 mg/ml,10 ml,$3.4100
Resolución 10 (Anexo A),468,,CIPROFLOXACINA,LÍQUIDO PARENTERAL,LPA-02,10 mg/ml,20 ml,$3.8000
Resolución 16-2017,24,672,CIPROFLOXACINA + DEXAMETASONA,LÍQUIDO OFTÁLMICO,SOLUCIÓN OFTÁLMICA,"(3,00 mg + 1,00 mg)/ml", -,$2.7350
STFP-005-747-2024,,747,CIPROTERONA,SÓLIDO ORAL,SOR-01,50 mg,-,$1.9210
Resolución 10 (Anexo A),480,,CISATRACURIO,LÍQUIDO PARENTERAL,LPA-02,5 mg/mL,-,$1.5213
STFP-002-717-2022,,717,CISATRACURIO,LÍQUIDO PARENTERAL,LPA-02,2 mg/ml,-,$1.1000
Resolución 10 (Anexo A),481,,CISPLATINO,SÓLIDO PARENTERAL / LÍQUIDO PARENTERAL,SPA-04/LPA-02,10 mg,-,$9.1500
Resolución 10 (Anexo A),482,,CISPLATINO,SÓLIDO PARENTERAL / LÍQUIDO PARENTERAL,SPA-04/LPA-02,50 mg,-,$16.4400
Resolución 10 (Anexo A),487,,CITARABINA,SÓLIDO PARENTERAL / LÍQUIDO PARENTERAL,SPA-04/LPA-02,1 g,-,$76.9000
Resolución 10 (Anexo A),488,,CITARABINA,SÓLIDO PARENTERAL / LÍQUIDO PARENTERAL,SPA-04/LPA-02,100 mg,-,$13.2500
Resolución 10 (Anexo A),489,,CITARABINA,SÓLIDO PARENTERAL / LÍQUIDO PARENTERAL,SPA-04/LPA-02,500 mg,-,$16.9100
STFP-006-725-2023,,725,CITICOLINA,LÍQUIDO ORAL,LOR-01,100 mg/ml,-,$0.9870
STFP-017-703-2021,,703,CITICOLINA,SÓLIDO ORAL,SOR-01,500 mg,-,$3.9500
STFP-001-733-2023,,733,CITICOLINA,LÍQUIDO PARENTERAL,LPA-02,"1000 mg/4 ml
(250 mg/ml)",-,$3.1000
STFP-001-736-2023,,736,CITICOLINA,SÓLIDO ORAL,SOR-06,1000 mg,SOBRE,$4.4843
Resolución 16-2017,7,669,CITICOLINA + NIMODIPINO,SÓLIDO ORAL,SOR-01,100 mg + 30 mg,-,$0.7200
STFP-001-755-2024,,755,CITRATO DE SODIO,LÍQUIDO PARENTERAL,LPA-02,"40 mg/ml
(136 mmol/l)",-,$0.0457
Resolución 10 (Anexo A),490,,CLADRIBINA,LÍQUIDO PARENTERAL,LPA-02,2 mg/ml,-,$590.8500
STFP-010-712-2022,,712,CLADRIBINA,SÓLIDO ORAL,SOR-01,10 mg,-,"$1,962.8707"
Resolución 10 (Anexo A),492,,CLARITROMICINA,SÓLIDO ORAL,SOR-06,125 mg/5 ml,-,$0.8175
Resolución 10 (Anexo A),496,,CLARITROMICINA,SÓLIDO ORAL,SOR-06,250 mg/5 ml,-,$1.1025
Resolución 10 (Anexo A),502,,CLARITROMICINA,SÓLIDO ORAL,SOR-01,500 mg,-,$0.9700
Resolución 10 (Anexo A),504,,CLARITROMICINA,SÓLIDO ORAL,SOR-02,500 mg,-,$3.4300
Resolución 10 (Anexo A),491,,CLARITROMICINA,SÓLIDO PARENTERAL,SPA-04,500 mg,-,$12.9600
Resolución 10 (Anexo A),509,,CLINDAMICINA,SÓLIDO ORAL,SOR-01,300 mg,-,$0.5400
